Osake;Hinta;Muutos;Osto;Myynti;Vaihto;Ylin;Alin;Päivitetty
Suominen;2,62;-4,029304029304025;2,61;2,7;4621,66;2,7;2,61;10.11.2023
Taaleri;8,41;-0,9422850412249714;8,41;8,45;34773,35;8,59;8,41;10.11.2023
Talenom;5,1;0;5,07;5,1;609486,65;5,17;4,97;10.11.2023
Tallink Grupp;0,644;0,3115264797507791;0,634;0,644;17742,79;0,652;0,63;10.11.2023
Tecnotree;0,3325;-5,6737588652482165;0,333;0,3375;359443,66;0,3545;0,325;10.11.2023
Teleste;2,69;-0,3703703703703789;2,63;2,68;34610,56;2,8;2,63;10.11.2023
Telia Company;2,066;-1,7126546146527133;2,064;2,066;1393500,623;2,095;2,055;10.11.2023
Terveystalo;6,92;-2,39774330042313;6,92;6,95;340932,03;7,1;6,9;10.11.2023
TietoEVRY;20,06;-1,4734774066797678;20,08;20,1;3396475,83;20,34;19,95;10.11.2023
Tokmanni Group;13,17;-0,3028009084027322;13,18;13,23;934750,325;13,27;13,07;10.11.2023
Trainers´ House;4,17;-0,477326968973758;4,17;4,2;3907,44;4,2;4,17;10.11.2023
Tulikivi A;0,42;-1,0600706713780927;0,418;0,4205;28520,857;0,4345;0,4165;10.11.2023
United Bankers;13,5;-1,459854014598535;13,4;13,7;33509,4;14;13,5;10.11.2023
UPM-Kymmene;32,4;-1,5197568389057752;32,36;32,38;21837214,27;32,84;32,13;10.11.2023
Vaisala A;34;-0,5847953216374352;33,8;34;526984,4;34,45;33,5;10.11.2023
Valmet;22,95;-0,9495036685369116;22,91;22,94;6580609,225;23,12;22,63;10.11.2023
Valoe;1,075;10,824742268041236;1,07;1,075;41228,794;1,075;0,9;10.11.2023
Verkkokauppa.com;2,48;-0,9980039920159646;2,485;2,525;364510,605;2,6;2,48;10.11.2023
Viking Line;18,8;2,73224043715847;18,55;18,8;4081,7;18,9;18,3;10.11.2023
Wetteri;0,445;-1,9823788546255523;0,433;0,444;31595,461;0,462;0,43;10.11.2023
WithSecure;0,9125;-0,4907306434024056;0,9065;0,912;56316,525;0,9235;0,8905;10.11.2023
Wulff Group;1,78;0,28169014084507693;1,78;1,79;4855,4;1,815;1,775;10.11.2023
Wärtsilä B;11,415;-1,4674147604661345;11,42;11,435;9658592,61;11,66;11,31;10.11.2023
YIT;1,793;-1,2121212121212133;1,789;1,792;424843,1665;1,81;1,77;10.11.2023
Ålandsbanken A;31,8;-0,9345794392523387;31,8;32;2597,3;32,2;31,8;10.11.2023
Ålandsbanken B;31,4;0,6410256410256387;31,2;31,4;63929,7;31,5;31,2;10.11.2023
