Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00+02:00,5.380539894104004,5.445106208632206,5.380539894104004,5.380539894104004,4169,0.0,0.0
2000-01-04 00:00:00+02:00,5.402062353761009,5.402062353761009,5.014663219451904,5.014663219451904,2960,0.0,0.0
2000-01-05 00:00:00+02:00,5.014663219451904,5.014663219451904,5.014663219451904,5.014663219451904,2000,0.0,0.0
2000-01-07 00:00:00+02:00,5.01466283405407,5.165318109790672,4.907052040100098,4.907052040100098,2000,0.0,0.0
2000-01-10 00:00:00+02:00,5.036184514914869,5.165317535400391,5.036184514914869,5.165317535400391,1500,0.0,0.0
2000-01-11 00:00:00+02:00,5.208362384571404,5.208362384571404,5.079229354858398,5.079229354858398,3000,0.0,0.0
2000-01-12 00:00:00+02:00,5.165317535400391,5.165317535400391,5.165317535400391,5.165317535400391,3443,0.0,0.0
2000-01-13 00:00:00+02:00,5.139491227411743,5.139491227411743,4.734874831521083,4.820963382720947,10000,0.0,0.0
2000-01-14 00:00:00+02:00,5.036184787750244,5.036184787750244,5.036184787750244,5.036184787750244,1000,0.0,0.0
2000-01-17 00:00:00+02:00,5.186840144535472,5.186840144535472,5.079229354858398,5.079229354858398,2400,0.0,0.0
2000-01-18 00:00:00+02:00,5.165317535400391,5.165317535400391,5.165317535400391,5.165317535400391,1955,0.0,0.0
2000-01-19 00:00:00+02:00,5.165317535400391,5.466627642864902,5.079228991910895,5.165317535400391,14425,0.0,0.0
2000-01-20 00:00:00+02:00,5.036184787750244,5.036184787750244,5.036184787750244,5.036184787750244,1670,0.0,0.0
2000-01-21 00:00:00+02:00,4.950096607208252,5.251406753372581,4.950096607208252,4.950096607208252,182,0.0,0.0
2000-01-24 00:00:00+02:00,5.165318198826002,5.165318198826002,4.950096607208252,4.950096607208252,1000,0.0,0.0
2000-01-25 00:00:00+02:00,4.868312358856201,4.868312358856201,4.868312358856201,4.868312358856201,1000,0.0,0.0
2000-01-26 00:00:00+02:00,4.700439929962158,4.700439929962158,4.700439929962158,4.700439929962158,1166,0.0,0.0
2000-01-27 00:00:00+02:00,4.734874701622299,5.1653178563152355,4.734874701622299,5.0663161277771,9750,0.0,0.0
2000-01-28 00:00:00+02:00,5.079229354858398,5.079229354858398,5.079229354858398,5.079229354858398,2000,0.0,0.0
2000-01-31 00:00:00+02:00,5.079229848216299,5.122273921966553,5.079229848216299,5.122273921966553,2045,0.0,0.0
2000-02-01 00:00:00+02:00,5.165317535400391,5.165317535400391,5.165317535400391,5.165317535400391,1788,0.0,0.0
2000-02-02 00:00:00+02:00,4.950096607208252,4.950096607208252,4.950096607208252,4.950096607208252,1252,0.0,0.0
2000-02-03 00:00:00+02:00,4.97161865234375,5.165317995057903,4.97161865234375,4.97161865234375,270,0.0,0.0
2000-02-04 00:00:00+02:00,4.864008052661673,4.971618848470549,4.864008052661673,4.950096607208252,2500,0.0,0.0
2000-02-07 00:00:00+02:00,4.825267912906589,4.825267912906589,4.734874831521083,4.820963382720947,7185,0.0,0.0
2000-02-08 00:00:00+02:00,4.8209637601180475,4.8209637601180475,4.734875202178955,4.734875202178955,2390,0.0,0.0
2000-02-09 00:00:00+02:00,4.7133518208612255,4.734874057769775,4.304430961608887,4.304430961608887,3075,0.0,0.0
2000-02-10 00:00:00+02:00,4.304430961608887,4.304430961608887,4.304430961608887,4.304430961608887,1000,0.0,0.0
2000-02-14 00:00:00+02:00,4.3087354910911015,4.3087354910911015,4.304430961608887,4.304430961608887,1315,0.0,0.0
2000-02-15 00:00:00+02:00,4.347476497427963,4.347476497427963,4.196821212768555,4.196821212768555,2725,0.0,0.0
2000-02-17 00:00:00+02:00,4.41204309463501,4.41204309463501,4.41204309463501,4.41204309463501,600,0.0,0.0
2000-02-21 00:00:00+02:00,4.304430961608887,4.304430961608887,4.304430961608887,4.304430961608887,500,0.0,0.0
2000-02-23 00:00:00+02:00,4.175298259014804,4.175298259014804,3.873988151550293,3.873988151550293,6500,0.0,0.0
2000-02-24 00:00:00+02:00,3.960077285766601,3.960077285766601,3.960077285766601,3.9600772857666016,1300,0.0,0.0
